STT,Mã CK,Tên công ty,Sàn CK,"4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Kiểm toán, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Chưa kiểm toán, ĐVT: VND]","A. TÀI SẢN NGẮN HẠN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Nợ ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","IV. Hàng tồn kho[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","1. Doanh thu bán hàng và cung cấp dịch vụ [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","3. Doanh thu thuần về bán hàng và cung cấp dịch vụ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","III. Các khoản phải thu ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Các khoản phải thu dài hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","A. NỢ PHẢI TRẢ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Vốn chủ sở hữu[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","II. Tài sản cố định[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG NGUỒN VỐN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","11. Lợi nhuận sau thuế chưa phân phối[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG TÀI SẢN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","   Trong đó :Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Khấu hao TSCĐ và BĐSĐT[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Giá vốn hàng bán/Doanh thu thuần[Năm: 2021, ĐVT: %]","Tỷ số thanh toán nhanh[Năm: 2021, ĐVT: Lần]","Tỷ số thanh toán hiện hành (ngắn hạn)[Năm: 2021, ĐVT: Lần]","Khả năng thanh toán lãi vay[Năm: 2021, ĐVT: Lần]","Tăng trưởng  doanh thu thuần[Năm: 2021, ĐVT: %]","Tăng trưởng tổng tài sản[Năm: 2021, ĐVT: %]","Tăng trưởng vốn chủ sở hữu[Năm: 2021, ĐVT: %]","Tăng trưởng lợi nhuận trước thuế [Năm: 2021, ĐVT: %]","Tăng trưởng  lợi nhuận gộp[Năm: 2021, ĐVT: %]","Lợi nhuận trước thuế và lãi vay (EBIT)[Năm: 2021, ĐVT: đồng]","Lợi nhuận trước thuế, lãi vay và khấu hao (EBITDA)[Năm: 2021, ĐVT: đồng]","Tỷ số dòng tiền HĐKD trên doanh thu thuần[Năm: 2021, ĐVT: %]",Ngành NAICS cấp 1,Ngày giao dịch đầu tiên
1,A32,CTCP 32,UPCOM,"578,731,775,257 ","578,731,775,257 ",,"401,956,113,112 ","289,745,705,674 ","192,225,986,980 ","650,148,136,248 ","650,148,136,248 ","112,325,433,320 ",,"289,745,705,674 ","238,057,190,324 ","114,253,527,600 ","528,130,895,998 ","45,024,189,238 ","528,130,895,998 ",,,,89.02 ,0.72 ,1.39 ,0.00 ,(10.77),8.16 ,(1.72),(17.46),(10.28),"41,749,995,928 ","48,838,765,330 ",10.29 ,Sản xuất,23-10-2018
2,AAA,CTCP Nhựa An Phát Xanh,HOSE,"11,841,734,480,539 ","11,841,734,480,539 ","11,852,811,922,819 ","5,354,610,509,760 ","3,282,339,419,557 ","997,384,835,429 ","13,154,009,928,330 ","13,143,109,864,001 ","1,795,468,441,466 ","278,966,433,205 ","4,555,144,898,241 ","5,454,381,737,050 ","2,100,839,611,952 ","10,009,526,635,291 ","706,493,529,920 ","10,009,526,635,291 ","151,665,660,549 ","160,990,151,352 ","315,934,993,090 ",90.10 ,1.33 ,1.63 ,3.62 ,76.93 ,16.81 ,35.55 ,24.82 ,67.50 ,"549,533,712,545 ","865,468,705,635 ",3.38 ,Sản xuất,25-11-2016
3,AAM,CTCP Thủy sản MeKong,HOSE,"126,638,446,298 ","126,638,446,298 ","126,638,446,298 ","163,042,481,781 ","5,544,333,271 ","84,836,260,629 ","134,110,305,244 ","134,110,305,244 ","7,766,546,518 ",,"6,761,017,862 ","194,326,489,821 ","26,236,639,402 ","201,087,507,683 ","(1,774,626,024)","201,087,507,683 ","99,939,316 ","99,939,316 ","3,114,330,669 ",94.43 ,14.11 ,29.41 ,3.28 ,10.94 ,(4.62),0.12 ,(98.10),"4,982.99 ","327,519,670 ","3,441,850,339 ",33.79 ,Sản xuất,24-09-2009
4,AAT,CTCP Tập Đoàn Tiên Sơn Thanh Hóa ,HOSE,"415,233,741,318 ","415,233,741,318 ","415,794,428,822 ","343,223,419,995 ","115,701,731,526 ","17,819,372,760 ","473,174,997,084 ","473,174,997,084 ","211,634,262,990 ","55,000,000,000 ","307,875,600,855 ","668,736,814,476 ","434,928,202,407 ","976,612,415,331 ","30,474,424,476 ","976,612,415,331 ","10,174,216,357 ",,,87.75 ,2.81 ,2.97 ,4.61 ,64.81 ,68.42 ,57.37 ,96.99 ,60.51 ,"46,872,787,454 ","71,559,573,594 ",10.18 ,Bán buôn,24-03-2021
5,AAV,CTCP AAV Group,HNX,"449,882,976,432 ","449,882,976,432 ","449,882,976,432 ","662,151,240,344 ","133,492,833,201 ","13,930,491,386 ","500,844,443,428 ","500,844,443,428 ","635,484,543,500 ","52,720,492,905 ","185,198,594,703 ","806,780,814,611 ","23,068,487,061 ","991,979,409,314 ","26,477,945,344 ","991,979,409,314 ","3,278,915,163 ","3,278,915,163 ","3,629,315,808 ",89.82 ,4.86 ,4.96 ,12.76 ,54.75 ,65.13 ,108.21 ,117.04 ,60.67 ,"41,845,137,531 ","45,474,453,339 ",(73.75),Bán buôn,25-06-2018
6,ABC,CTCP Truyền thông VMG,UPCOM,"1,466,128,557,474 ","1,466,128,557,474 ","1,464,611,314,602 ","669,701,519,000 ","1,144,131,582,983 ","16,433,245,975 ","1,525,844,516,284 ","1,525,530,077,939 ","351,453,933,291 ","3,441,175,000 ","1,151,262,539,351 ","(227,093,315,382)","30,085,387,462 ","924,169,223,969 ","(719,206,271,134)","924,169,223,969 ","8,151,168,030 ","8,151,168,030 ","8,431,776,543 ",96.11 ,0.57 ,0.59 ,(70.46),(54.75),4.91 ,(162.58),(446.30),(23.07),"(574,334,005,868)","(565,902,229,325)",(0.32),Công nghệ và thông tin,18-08-2016
7,ABR,CTCP Đầu tư Nhãn hiệu Việt,HOSE,"46,670,212,316 ","46,670,212,316 ","46,693,511,478 ","236,539,139,007 ","52,752,149,490 ","407,812,936 ","91,154,043,167 ","91,154,043,167 ","41,804,446,989 ","175,282,530 ","56,749,743,771 ","255,765,164,585 ","14,710,044,990 ","312,514,908,356 ","55,765,164,585 ","312,514,908,356 ",,,"9,863,027,470 ",51.20 ,4.48 ,4.48 ,0.00 ,(7.23),10.65 ,8.17 ,(22.80),(15.66),"23,470,767,691 ","33,333,795,161 ",14.54 ,Bán buôn,03-03-2022
8,ABS,CTCP Dịch vụ Nông nghiệp Bình Thuận,HOSE,"1,140,220,607,026 ","1,140,220,607,026 ","1,140,220,607,026 ","1,282,110,103,493 ","666,155,125,424 ","20,203,291,172 ","1,198,699,189,061 ","1,198,652,069,061 ","917,672,393,436 ","221,400,000,000 ","666,547,625,424 ","926,404,122,645 ","13,009,863,399 ","1,592,951,748,069 ","83,784,479,469 ","1,592,951,748,069 ","33,363,592,601 ",,,95.13 ,1.89 ,1.92 ,3.46 ,8.58 ,36.14 ,112.83 ,36.31 ,(30.42),"115,352,346,496 ","115,475,087,609 ",(46.95),Bán buôn,18-03-2020
9,ABT,CTCP Xuất nhập khẩu Thủy sản Bến Tre,HOSE,"276,870,531,229 ","276,870,531,229 ","276,870,531,229 ","295,336,129,083 ","171,507,973,886 ","176,659,207,314 ","343,461,764,566 ","341,647,434,418 ","49,004,070,602 ",,"175,678,304,886 ","418,595,693,926 ","62,639,843,711 ","594,273,998,812 ","27,440,116,566 ","594,273,998,812 ","2,063,842,024 ","2,063,842,024 ","7,996,373,612 ",81.04 ,0.69 ,1.72 ,18.63 ,7.40 ,9.31 ,1.93 ,122.29 ,74.48 ,"38,442,548,286 ","46,438,921,898 ",(0.56),Sản xuất,25-12-2006
10,AC4,CTCP ACC-244,OTC,"336,165,982,763 ","336,165,982,763 ",,"294,541,513,431 ","249,822,935,152 ","39,514,935,625 ","360,803,621,987 ","355,185,345,892 ","141,281,378,275 ",,"249,822,935,152 ","46,919,492,532 ","2,124,254,629 ","296,742,427,684 ","6,637,037,391 ","296,742,427,684 ","48,017,178 ","48,017,178 ","1,063,232,808 ",94.65 ,1.02 ,1.18 ,126.88 ,(25.08),(9.57),(3.08),(39.29),(5.56),"6,092,355,015 ","7,155,587,823 ",34.72 ,Xây dựng và Bất động sản,08-02-2017
11,ACC,CTCP Đầu tư và Xây dựng Bình Dương ACC,HOSE,"280,016,502,794 ","280,016,502,794 ","276,762,826,348 ","809,245,653,379 ","447,670,757,977 ","536,798,531,534 ","352,999,336,076 ","352,999,336,076 ","179,508,841,357 ","255,000,000,000 ","700,477,035,724 ","475,085,989,877 ","20,720,342,432 ","1,175,563,025,601 ","99,100,899,151 ","1,175,563,025,601 ","22,403,254,196 ","22,403,254,196 ","5,429,679,807 ",79.32 ,0.61 ,1.81 ,3.11 ,(27.20),28.76 ,(6.24),(40.02),(45.11),"69,666,050,340 ","75,095,730,147 ",(129.60),Sản xuất,30-06-2011
12,ACCCO,CTCP Tư vấn Kiến trúc và Xây dựng Thành phố Hồ Chí Minh,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xây dựng và Bất động sản,
13,ACE,CTCP Bê tông Ly tâm An Giang,UPCOM,"196,769,987,318 ","196,769,987,318 ",,"159,110,941,057 ","108,963,728,191 ","64,455,014,291 ","251,196,194,286 ","251,196,194,286 ","64,825,572,771 ",,"108,963,728,191 ","72,969,255,175 ","16,718,443,516 ","181,932,983,366 ","19,566,767,955 ","181,932,983,366 ","2,031,933,286 ","2,031,933,286 ","5,233,617,679 ",78.33 ,0.87 ,1.46 ,12.78 ,(14.76),(9.27),0.68 ,0.49 ,(5.93),"25,965,828,260 ","31,199,445,939 ",(5.55),Sản xuất,10-11-2009
14,ACG,CTCP Gỗ An Cường,HOSE,"2,397,612,834,481 ","2,397,612,834,481 ","2,397,612,834,481 ","3,650,800,848,248 ","1,196,572,464,437 ","1,380,301,310,465 ","3,312,950,679,602 ","3,293,507,585,511 ","618,583,366,551 ","322,336,513,405 ","1,206,120,120,534 ","3,776,798,905,190 ","534,761,034,183 ","4,982,919,025,724 ","1,456,505,482,373 ","4,982,919,025,724 ","21,480,945,050 ","21,480,945,050 ","114,701,008,697 ",72.80 ,1.90 ,3.05 ,26.44 ,(12.26),11.90 ,7.40 ,(2.72),(11.99),"567,897,535,495 ","682,598,544,192 ",5.17 ,Sản xuất,10-10-2022
15,ACL,CTCP Xuất nhập khẩu Thủy sản Cửu Long An Giang,HOSE,"1,059,294,956,614 ","1,059,294,956,614 ","1,058,825,928,866 ","1,158,362,257,259 ","751,726,674,397 ","852,626,851,763 ","1,224,022,685,706 ","1,213,721,451,306 ","137,045,756,610 ",,"751,726,674,397 ","706,452,640,437 ","284,974,721,479 ","1,458,179,314,834 ","174,461,973,405 ","1,458,179,314,834 ","32,052,204,485 ","32,052,204,485 ","42,696,999,040 ",87.28 ,0.41 ,1.54 ,2.49 ,27.52 ,(12.13),1.73 ,53.80 ,2.91 ,"79,855,501,676 ","122,552,500,716 ",29.81 ,Sản xuất,05-09-2007
16,ACM,CTCP Tập đoàn Khoáng sản Á Cường,UPCOM,,,,"129,506,353,503 ","171,328,399,500 ","105,807,083,505 ",,,"21,572,751,462 ","43,484,000,000 ","171,328,399,500 ","362,496,489,300 ","224,882,091,099 ","533,824,888,800 ","(149,303,510,700)","533,824,888,800 ","8,911,128,095 ",,,,0.14 ,0.76 ,(0.44),,(0.24),(3.43),(123.95),,"(3,953,005,375)","15,993,642,289 ",,Khai khoáng,19-07-2022
17,ACS,CTCP Xây lắp Thương mại 2,UPCOM,"377,632,821,051 ","377,632,821,051 ",,"427,067,118,856 ","399,246,171,402 ","146,496,458,907 ","418,594,056,001 ","418,594,056,001 ","233,311,866,790 ","5,000,000 ","400,411,253,413 ","72,607,553,448 ","16,505,146,440 ","473,018,806,861 ","7,062,158,189 ","473,018,806,861 ","11,001,525,957 ","11,001,525,957 ","1,807,657,992 ",90.21 ,0.70 ,1.07 ,1.27 ,(59.40),(0.87),8.25 ,(81.41),(33.49),"13,986,475,050 ","15,794,133,042 ",(10.00),Xây dựng và Bất động sản,13-07-2017
18,ACV,Tổng Công ty Cảng Hàng không Việt Nam - CTCP,UPCOM,"5,537,389,768,144 ","5,537,389,768,144 ","5,444,125,360,236 ","37,567,953,864,201 ","3,688,003,367,556 ","289,723,600,756 ","4,774,331,114,808 ","4,752,036,055,205 ","3,660,055,407,281 ","271,101,804,917 ","17,326,792,046,523 ","37,652,691,877,590 ","12,509,813,118,851 ","54,979,483,924,113 ","9,792,696,331,399 ","54,979,483,924,113 ","88,792,729,468 ","88,792,729,468 ","2,529,606,678,309 ",116.53 ,10.11 ,10.19 ,12.15 ,(38.82),(3.38),0.23 ,(50.49),(156.52),"1,079,077,964,354 ","3,608,684,642,663 ",(14.71),Vận tải và kho bãi,21-11-2016
19,ADC,CTCP Mỹ thuật và Truyền thông,HNX,"186,750,320,782 ","186,750,320,782 ","187,178,058,447 ","112,733,161,889 ","76,922,895,348 ","35,466,294,879 ","299,308,198,903 ","299,308,198,903 ","42,377,488,656 ","7,150,018,311 ","76,922,895,348 ","66,893,726,417 ","21,213,949,805 ","143,816,621,765 ","10,390,276,667 ","143,816,621,765 ",,,"1,774,530,364 ",62.39 ,1.00 ,1.47 ,0.00 ,(21.40),4.71 ,5.23 ,(15.80),(16.62),"13,624,955,440 ","15,399,485,804 ",(7.21),Công nghệ và thông tin,24-12-2010
20,ADG,CTCP Clever Group,HOSE,"513,812,453,495 ","513,812,453,495 ","512,317,060,281 ","371,845,279,359 ","177,907,103,818 ","6,854,461,847 ","585,931,386,815 ","584,729,910,315 ","128,416,004,901 ","52,801,738,224 ","180,148,111,892 ","269,452,677,366 ","10,105,453,404 ","449,600,789,258 ","58,205,806,096 ","449,600,789,258 ","3,912,112,848 ","3,912,112,848 ","1,160,621,286 ",87.87 ,2.05 ,2.09 ,13.93 ,29.40 ,1.03 ,12.18 ,(3.88),(8.45),"54,488,788,571 ","55,649,409,857 ",12.81 ,"Dịch vụ chuyên môn, khoa học và công nghệ",22-02-2021
21,ADP,CTCP Sơn Á Đông,UPCOM,"322,981,713,037 ","322,981,713,037 ","322,981,713,037 ","270,709,561,430 ","52,864,665,516 ","71,587,688,460 ","416,354,104,341 ","414,641,967,106 ","58,521,066,983 ",,"52,864,665,516 ","278,065,560,969 ","60,220,665,055 ","330,930,226,485 ","47,667,060,969 ","330,930,226,485 ","23,424,500 ",,,77.89 ,3.77 ,5.12 ,"2,652.31 ",(27.55),0.36 ,3.59 ,(36.70),(35.71),"62,128,970,048 ","64,543,588,777 ",8.70 ,Sản xuất,02-02-2010
22,ADS,CTCP Damsan,HOSE,"1,335,818,060,189 ","1,335,818,060,189 ","1,336,664,417,448 ","1,605,935,761,362 ","1,299,461,694,986 ","568,429,137,567 ","1,513,151,486,160 ","1,513,151,486,160 ","614,230,059,133 ",,"1,401,266,277,396 ","583,902,322,656 ","224,755,548,618 ","1,985,168,600,052 ","89,238,568,278 ","1,985,168,600,052 ","35,825,603,754 ","35,825,605,754 ","59,839,699,048 ",88.28 ,0.80 ,1.24 ,4.17 ,13.01 ,8.01 ,38.32 ,304.29 ,179.79 ,"149,432,248,041 ","209,271,947,089 ",8.27 ,Sản xuất,29-06-2016
23,AECS,CTCP Tư vấn Xây dựng và Dịch vụ Hàng Không,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xây dựng và Bất động sản,
24,AFC,CTCP Nông Lâm nghiệp Bình Dương,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất nông nghiệp,12-06-2017
25,AFX,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,UPCOM,"758,485,397,704 ","758,485,397,704 ","758,586,689,209 ","455,389,915,100 ","243,955,690,579 ","106,460,184,040 ","775,792,096,554 ","765,923,302,269 ","279,868,832,287 ",,"243,969,190,579 ","398,502,582,562 ","85,450,993,083 ","642,471,773,141 ","39,302,051,492 ","642,471,773,141 ","5,408,059,830 ","5,408,059,830 ","6,610,603,906 ",99.03 ,1.43 ,1.87 ,5.88 ,2.10 ,47.57 ,5.57 ,25.04 ,(83.30),"31,793,005,201 ","38,403,609,107 ",(24.98),Sản xuất,02-12-2016
26,AG1,CTCP 28.1,UPCOM,"133,273,749,396 ","133,273,749,396 ",,"70,810,790,648 ","63,466,346,319 ","46,606,689,705 ","139,538,707,848 ","139,538,707,848 ","15,751,028,079 ","10,000,000 ","63,466,346,319 ","27,683,204,244 ","18,606,785,263 ","91,149,550,563 ","(22,085,913,375)","91,149,550,563 ","1,125,536,412 ","1,125,536,412 ","6,123,000,638 ",95.51 ,0.38 ,1.12 ,(10.57),(3.30),(5.17),(31.98),(240.31),(53.32),"(11,892,139,380)","(5,769,138,742)",(1.79),Sản xuất,10-01-2018
27,AGC,CTCP Cà phê An Giang,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất,05-01-2009
28,AGD,CTCP Gò Đàng,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất,07-01-2010
29,AGE,CTCP Môi trường Đô thị An Giang,UPCOM,"244,882,457,584 ","244,882,457,584 ","244,882,457,584 ","115,592,184,101 ","58,113,129,903 ","1,132,308,631 ","289,970,121,324 ","282,836,296,473 ","70,962,900,284 ","216,265,000 ","58,113,129,903 ","252,167,612,288 ","119,900,695,543 ","310,280,742,191 ","5,126,724,892 ","310,280,742,191 ","25,835,624 ","25,835,624 ","15,611,451,177 ",86.58 ,1.97 ,1.99 ,873.46 ,8.47 ,(2.96),1.65 ,8.03 ,6.80 ,"22,566,418,024 ","38,177,869,201 ",(5.07),"Dịch vụ hỗ trợ (hành chính, du lịch, an ninh, kiểm định…) và xử lý rác thải",15-08-2022
30,AGF,CTCP Xuất nhập khẩu Thủy sản An Giang,UPCOM,"436,051,751,691 ","436,051,751,691 ","437,212,246,081 ","199,000,608,591 ","574,597,353,204 ","109,063,760,922 ","470,480,428,072 ","468,441,833,724 ","38,090,364,929 ",,"579,355,131,354 ","(153,251,746,816)","174,269,289,965 ","426,103,384,538 ","(847,146,427,283)","426,103,384,538 ","38,452,952,748 ","38,452,952,748 ","23,174,421,505 ",93.09 ,0.16 ,0.35 ,(1.40),(31.47),(20.32),(351.67),(141.72),(59.60),"(53,904,912,156)","(30,730,490,651)",8.31 ,Sản xuất,24-02-2020
31,AGG,CTCP Đầu tư và Phát triển Bất động sản An Gia,HOSE,"1,409,599,539,119 ","1,409,599,539,119 ","1,409,599,539,119 ","11,089,800,323,834 ","6,063,134,933,540 ","6,729,654,700,535 ","1,818,858,294,221 ","1,808,364,764,217 ","3,123,319,222,976 ","1,105,376,684,720 ","9,889,238,534,248 ","2,675,589,374,808 ","32,720,106,512 ","12,564,827,909,056 ","1,103,497,526,959 ","12,564,827,909,056 ","123,829,540,318 ","129,308,357,270 ","31,584,706,084 ",77.95 ,0.72 ,1.83 ,4.99 ,3.12 ,28.83 ,15.29 ,3.17 ,46.70 ,"618,004,310,262 ","649,589,016,346 ",48.24 ,Xây dựng và Bất động sản,09-01-2020
32,AGM,CTCP Xuất Nhập khẩu An Giang,HOSE,"3,690,587,174,472 ","3,690,587,174,472 ","3,690,587,174,472 ","1,301,463,528,118 ","1,029,553,766,087 ","211,952,992,951 ","3,931,417,745,703 ","3,924,840,576,782 ","778,176,036,528 ","3,834,247,406 ","1,373,757,471,254 ","482,658,572,569 ","283,748,400,472 ","1,856,416,043,823 ","175,173,572,569 ","1,856,416,043,823 ","20,999,725,548 ","20,999,725,548 ","16,251,752,683 ",94.03 ,1.06 ,1.26 ,3.74 ,100.23 ,144.71 ,9.96 ,90.31 ,51.83 ,"78,588,405,725 ","94,840,158,408 ",(16.72),Sản xuất,14-12-2012
33,AGP,CTCP Dược phẩm Agimexpharm,UPCOM,"334,800,294,729 ","334,800,294,729 ","334,800,294,729 ","498,682,984,558 ","415,892,754,462 ","258,984,087,580 ","533,993,916,312 ","521,798,596,027 ","202,096,381,166 ","5,104,244,830 ","438,640,031,595 ","232,229,592,659 ","131,357,999,677 ","670,869,624,254 ","33,226,414,373 ","670,869,624,254 ","18,423,626,846 ","18,423,626,846 ","18,555,022,052 ",64.16 ,0.58 ,1.20 ,3.25 ,5.42 ,11.96 ,6.52 ,14.00 ,15.00 ,"59,801,306,987 ","78,356,329,039 ",2.87 ,Sản xuất,06-10-2015
34,AgrimexcoCaMau,CTCP Xuất nhập khẩu Nông sản Thực phẩm Cà Mau,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bán buôn,
35,AGX,CTCP Thực phẩm Nông Sản xuất khẩu Sài Gòn,UPCOM,"486,266,067,301 ","486,266,067,301 ",,"434,504,474,148 ","164,611,757,395 ","109,747,282,259 ","648,146,980,927 ","647,194,580,661 ","91,793,742,383 ",,"171,235,321,772 ","491,054,807,268 ","146,501,816,642 ","662,290,129,040 ","259,261,299,355 ","662,290,129,040 ","872,743,412 ","872,743,412 ","31,245,079,863 ",75.13 ,1.97 ,2.64 ,97.59 ,5.48 ,15.47 ,12.44 ,15.77 ,36.44 ,"85,172,892,251 ","116,417,972,114 ",10.22 ,Sản xuất,14-09-2015
36,ALP,CTCP Đầu tư Alphanam,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất,18-12-2007
37,ALT,CTCP Văn hóa Tân Bình,HNX,"184,206,551,660 ","184,206,551,660 ","181,376,104,967 ","155,703,611,540 ","58,763,766,380 ","24,529,027,090 ","224,346,045,177 ","222,964,375,950 ","55,703,475,064 ","5,740,924,760 ","61,594,537,161 ","214,980,669,081 ","61,104,801,059 ","276,575,206,242 ","22,875,163,337 ","276,575,206,242 ","1,270,337,720 ","1,270,337,720 ","15,862,425,134 ",82.62 ,2.23 ,2.65 ,5.73 ,15.87 ,(5.44),0.58 ,13.55 ,46.01 ,"7,272,721,646 ","23,135,146,780 ",12.71 ,Sản xuất,27-07-2009
38,ALV,CTCP Xây dựng ALVICO,UPCOM,"93,117,749,582 ","93,117,749,582 ",,"45,257,473,168 ","12,247,178,215 ","16,802,198,334 ","101,131,541,985 ","100,876,996,531 ","9,516,173,612 ","390,000,000 ","17,796,747,105 ","71,453,155,003 ","42,299,651,054 ","89,249,902,108 ","14,475,087,288 ","89,249,902,108 ",,,"1,598,067,118 ",92.31 ,2.32 ,3.70 ,0.00 ,(5.31),(21.69),7.62 ,153.94 ,42.19 ,"7,257,849,286 ","8,855,916,404 ",1.03 ,Khai khoáng,21-06-2019
39,AMC,CTCP Khoáng sản Á Châu,HNX,"87,009,376,770 ","87,009,376,770 ","87,009,376,770 ","41,961,241,806 ","31,517,272,038 ","7,192,727,288 ","157,803,608,857 ","157,803,608,857 ","28,725,728,392 ","2,933,576,332 ","35,144,339,247 ","50,359,907,789 ","30,484,042,323 ","85,504,247,036 ","7,079,045,972 ","85,504,247,036 ","627,905,053 ",,,55.14 ,1.10 ,1.33 ,13.75 ,2.78 ,(10.68),0.63 ,1.07 ,0.29 ,"8,634,676,689 ","15,651,179,509 ",3.01 ,Khai khoáng,15-02-2012
40,AMD,CTCP Đầu tư và Khoáng sản FLC Stone,HOSE,"1,489,321,064,277 ","1,489,321,064,277 ","1,489,164,374,000 ","2,026,587,835,154 ","603,267,851,873 ","443,481,858,516 ","1,534,374,727,054 ","1,534,374,727,054 ","1,538,744,230,553 ","491,628,000 ","620,192,400,320 ","1,976,945,549,809 ","232,175,391,944 ","2,597,137,950,129 ","192,304,776,782 ","2,597,137,950,129 ","30,167,333,307 ","30,167,333,307 ","33,018,122,623 ",97.06 ,2.62 ,3.36 ,1.51 ,36.83 ,(4.22),0.57 ,(43.69),(50.52),"45,673,675,925 ","78,691,798,548 ",(1.91),Bán lẻ,11-11-2014
41,AME,CTCP Alphanam E&C,HNX,"1,674,598,141,320 ","1,674,598,141,320 ","1,672,916,951,642 ","1,589,820,690,326 ","1,270,712,200,983 ","563,854,989,350 ","1,784,702,868,306 ","1,784,702,868,306 ","985,420,684,279 ","1,234,220,000,000 ","2,558,220,962,608 ","345,048,564,254 ","12,648,364,636 ","2,903,269,526,862 ","92,207,697,344 ","2,903,269,526,862 ","56,567,910,255 ","56,567,910,255 ","2,799,405,787 ",93.83 ,0.81 ,1.25 ,1.47 ,26.50 ,40.05 ,5.78 ,0.46 ,5.33 ,"83,131,724,610 ","85,931,130,397 ",(9.09),Xây dựng và Bất động sản,02-06-2010
42,AMP,CTCP Armephaco,UPCOM,"1,290,771,501,579 ","1,290,771,501,579 ",,"1,094,431,126,133 ","986,927,492,141 ","264,910,259,722 ","1,374,565,553,810 ","1,374,447,634,922 ","739,003,010,123 ","1,829,397,040 ","986,927,492,141 ","195,724,619,787 ","47,463,319,218 ","1,182,698,906,165 ","48,707,368,591 ","1,182,698,906,165 ","24,350,336,417 ","24,350,336,417 ","7,543,717,125 ",93.91 ,0.84 ,1.11 ,1.25 ,36.26 ,22.23 ,2.33 ,(15.40),(11.04),"30,492,011,193 ","38,035,728,318 ",5.02 ,Bán buôn,12-01-2017
43,AMS,CTCP Cơ khí Xây dựng AMECC,UPCOM,"2,480,951,417,936 ","2,480,951,417,936 ","2,491,718,744,603 ","1,460,461,492,684 ","1,432,464,016,197 ","812,973,753,162 ","2,677,987,829,210 ","2,677,987,829,210 ","489,419,438,391 ","4,722,419,260 ","1,698,530,776,914 ","467,722,458,591 ","393,971,077,168 ","2,166,253,235,505 ","51,762,380,181 ","2,166,253,235,505 ","46,808,061,587 ","46,808,061,587 ","34,032,689,258 ",92.64 ,0.45 ,1.02 ,2.08 ,(10.21),(9.11),2.96 ,(14.83),2.42 ,"97,419,711,110 ","131,452,400,368 ",(4.41),Sản xuất,06-02-2017
