STT,Mã CK,Tên công ty,Sàn CK,"4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Kiểm toán, ĐVT: VND]","4. Giá vốn hàng bán [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Chưa kiểm toán, ĐVT: VND]","A. TÀI SẢN NGẮN HẠN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Nợ ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","IV. Hàng tồn kho[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","1. Doanh thu bán hàng và cung cấp dịch vụ [Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","3. Doanh thu thuần về bán hàng và cung cấp dịch vụ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","III. Các khoản phải thu ngắn hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Các khoản phải thu dài hạn[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","A. NỢ PHẢI TRẢ[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","I. Vốn chủ sở hữu[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","II. Tài sản cố định[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG NGUỒN VỐN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","11. Lợi nhuận sau thuế chưa phân phối[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","TỔNG CỘNG TÀI SẢN[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","   Trong đó :Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Chi phí lãi vay[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Khấu hao TSCĐ và BĐSĐT[Năm: 2021, Kỳ: Năm, TT Hợp nhất: Mới nhất, TT Kiểm toán: Mới nhất, ĐVT: VND]","Giá vốn hàng bán/Doanh thu thuần[Năm: 2021, ĐVT: %]","Tỷ số thanh toán nhanh[Năm: 2021, ĐVT: Lần]","Tỷ số thanh toán hiện hành (ngắn hạn)[Năm: 2021, ĐVT: Lần]","Khả năng thanh toán lãi vay[Năm: 2021, ĐVT: Lần]","Tăng trưởng  doanh thu thuần[Năm: 2021, ĐVT: %]","Tăng trưởng tổng tài sản[Năm: 2021, ĐVT: %]","Tăng trưởng vốn chủ sở hữu[Năm: 2021, ĐVT: %]","Tăng trưởng lợi nhuận trước thuế [Năm: 2021, ĐVT: %]","Tăng trưởng  lợi nhuận gộp[Năm: 2021, ĐVT: %]","Lợi nhuận trước thuế và lãi vay (EBIT)[Năm: 2021, ĐVT: đồng]","Lợi nhuận trước thuế, lãi vay và khấu hao (EBITDA)[Năm: 2021, ĐVT: đồng]","Tỷ số dòng tiền HĐKD trên doanh thu thuần[Năm: 2021, ĐVT: %]",Ngành NAICS cấp 1,Ngày giao dịch đầu tiên
1769,VILACONA,CTCP Đầu tư Hợp tác Kinh tế Việt Lào,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bán buôn,
1770,VIM,CTCP Khoáng sản Viglacera,UPCOM,"86,431,825,229 ","86,431,825,229 ",,"25,567,594,614 ","13,407,199,741 ","11,001,084,054 ","102,348,742,033 ","102,348,742,033 ","13,964,446,297 ","2,364,638,504 ","15,760,328,536 ","24,206,262,059 ","9,485,163,704 ","39,966,590,595 ","5,486,527,839 ","39,966,590,595 ","522,954,419 ","522,954,419 ","2,172,390,826 ",84.45 ,1.09 ,1.91 ,13.87 ,15.36 ,4.46 ,11.99 ,28.32 ,(10.68),"7,254,259,140 ","9,426,649,966 ",2.11 ,Khai khoáng,24-01-2017
1771,Vimec,CTCP Thương mại Đầu tư VIMEC,OTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bán buôn,
1772,VIN,CTCP Giao nhận Kho vận Ngoại Thương Việt Nam,UPCOM,"218,884,095,839 ","218,884,095,839 ","218,545,440,342 ","214,557,098,569 ","43,408,416,807 ","166,611,789 ","226,039,261,740 ","226,039,261,740 ","60,505,329,966 ","410,000,000 ","43,867,416,807 ","497,639,064,574 ","18,098,439,807 ","541,506,481,381 ","240,338,624,115 ","541,506,481,381 ",,,"2,145,483,815 ",96.83 ,4.94 ,4.94 ,0.00 ,16.16 ,6.53 ,8.02 ,(16.23),(64.03),"50,917,074,978 ","53,062,558,793 ",(10.03),Vận tải và kho bãi,04-09-2014
1773,VIP,CTCP Vận tải Xăng dầu Vipco,HOSE,"634,668,890,366 ","634,668,890,366 ","634,660,035,366 ","745,687,159,145 ","182,939,043,376 ","85,145,168,459 ","681,572,163,182 ","681,388,298,000 ","84,904,294,246 ","4,616,138,746 ","388,603,271,258 ","1,083,705,057,437 ","671,933,595,181 ","1,472,308,328,695 ","81,703,273,130 ","1,472,308,328,695 ","24,053,223,106 ","24,053,223,106 ","186,853,593,993 ",93.14 ,3.61 ,4.08 ,1.89 ,31.83 ,(8.09),(1.79),(73.24),(42.53),"45,483,278,163 ","232,336,872,156 ",23.46 ,Vận tải và kho bãi,21-12-2006
1774,VIR,CTCP Du lịch Quốc tế Vũng Tàu,UPCOM,"19,392,853,425 ","19,392,853,425 ",,"23,447,460,392 ","8,702,796,332 ","191,106,485 ","13,859,563,128 ","13,859,563,128 ","1,559,655,432 ",,"8,882,796,332 ","73,666,688,979 ","57,481,744,201 ","82,549,485,311 ","(17,843,050,800)","82,549,485,311 ","39,554,794 ","39,554,794 ","3,978,359,219 ",139.92 ,2.67 ,2.69 ,(358.22),(61.58),(25.55),(20.81),"(8,785.54)",(200.54),"(14,169,130,334)","(10,190,771,115)",(151.38),Dịch vụ lưu trú và ăn uống,01-07-2010
1775,VIS,CTCP Thép Việt Ý,OTC,"5,855,546,803,343 ","5,855,546,803,343 ","5,855,546,803,343 ","2,721,434,268,968 ","2,596,896,952,842 ","1,302,768,736,538 ","5,860,376,089,350 ","5,821,390,528,425 ","940,720,676,480 ","10,591,428,201 ","2,602,053,185,690 ","396,178,516,346 ","211,172,333,758 ","2,998,231,702,036 ","(647,370,516,429)","2,998,231,702,036 ","50,166,444,046 ","50,166,444,046 ","53,800,183,407 ",100.59 ,0.55 ,1.05 ,(1.64),43.32 ,4.30 ,(25.05),(688.61),(133.65),"(82,365,061,544)","(28,564,878,137)",(9.45),Sản xuất,25-12-2006
1776,VIT,CTCP Viglacera Tiên Sơn,HNX,"1,118,642,411,764 ","1,118,642,411,764 ","1,118,642,411,764 ","613,935,492,384 ","643,097,599,170 ","375,718,881,450 ","1,257,920,546,021 ","1,256,801,935,658 ","101,806,007,552 ","1,216,900,000 ","1,046,951,961,622 ","614,921,084,980 ","388,868,007,738 ","1,661,873,046,602 ","46,166,694,623 ","1,661,873,046,602 ","36,794,637,640 ","36,794,637,640 ","75,150,776,977 ",89.01 ,0.37 ,0.95 ,2.54 ,(2.68),72.95 ,99.28 ,(8.84),(13.56),"93,329,297,239 ","168,480,074,216 ",10.14 ,Sản xuất,03-11-2009
1777,VIW,Tổng Công ty Đầu tư Nước và Môi trường Việt Nam,UPCOM,"727,865,987,394 ","727,865,987,394 ","738,776,689,552 ","1,568,280,768,360 ","1,216,834,743,573 ","551,534,791,266 ","828,546,689,146 ","828,091,821,401 ","736,674,116,050 ","1,100,000,000 ","1,485,547,726,999 ","738,259,395,344 ","376,250,903,646 ","2,223,815,467,292 ","(20,019,914,044)","2,223,815,467,292 ","37,201,266,071 ","37,201,266,071 ","34,271,092,610 ",87.90 ,0.84 ,1.29 ,1.70 ,(12.67),(4.49),(0.24),195.56 ,(25.22),"63,412,625,276 ","97,683,717,886 ",8.68 ,Xây dựng và Bất động sản,05-01-2017
1778,VJC,CTCP Hàng không Vietjet,HOSE,"14,913,724,210,509 ","14,913,724,210,509 ","14,951,629,831,766 ","26,866,732,678,773 ","15,522,180,566,553 ","811,247,030,655 ","12,874,919,725,450 ","12,874,919,725,450 ","23,261,094,436,070 ","16,889,287,027,947 ","34,799,493,690,860 ","16,854,210,320,480 ","1,158,451,949,883 ","51,653,704,011,340 ","11,281,432,588,734 ","51,653,704,011,340 ","804,782,847,259 ","804,782,847,259 ","98,078,009,402 ",115.84 ,1.68 ,1.73 ,1.22 ,(29.34),14.29 ,12.52 ,(26.22),(244.40),"985,162,370,183 ","1,083,240,379,585 ",(50.88),Vận tải và kho bãi,28-02-2017
1779,VKC,CTCP VKC Holdings ,HNX,"836,332,902,096 ","836,332,902,096 ","836,332,902,096 ","532,519,482,395 ","318,340,029,091 ","160,103,181,096 ","885,969,642,945 ","884,133,845,245 ","262,456,038,612 ","11,126,894,165 ","437,748,109,095 ","243,826,957,916 ","88,681,511,495 ","681,575,067,011 ","22,696,775,070 ","681,575,067,011 ","22,823,646,802 ","22,823,646,802 ","13,225,249,954 ",94.59 ,1.17 ,1.67 ,1.14 ,(14.52),10.51 ,0.94 ,144.12 ,(4.26),"25,951,176,044 ","39,176,425,998 ",(12.34),Bán buôn,08-12-2010
1780,VKD,CTCP Nước khoáng Khánh Hòa,OTC,"148,627,850,238 ","148,627,850,238 ","149,626,774,822 ","209,839,512,902 ","112,887,733,416 ","17,747,258,017 ","257,479,903,705 ","247,616,162,305 ","42,349,964,455 ",,"123,208,285,960 ","192,188,629,303 ","20,078,988,916 ","315,396,915,263 ","54,082,121,651 ","315,396,915,263 ","2,199,606,431 ","2,199,606,431 ","10,679,577,201 ",60.02 ,1.70 ,1.86 ,8.62 ,(0.11),18.05 ,10.60 ,393.64 ,(4.79),"18,968,692,203 ","29,648,269,404 ",(10.78),Sản xuất,12-04-2010
1781,VKP,CTCP Nhựa Tân Hóa,UPCOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sản xuất,15-11-2013
